Quadro (imagem),min_val,max_val
img_frame_00000.jpg,-96282152.0,294991424.0
img_frame_00001.jpg,-96379776.0,293675296.0
img_frame_00002.jpg,-96448824.0,291895104.0
img_frame_00003.jpg,-96387944.0,289043296.0
img_frame_00004.jpg,-96449488.0,290100576.0
img_frame_00005.jpg,-96445472.0,291954560.0
img_frame_00006.jpg,-96409152.0,291162112.0
img_frame_00007.jpg,-96431232.0,291191072.0
img_frame_00008.jpg,-96418584.0,293001152.0
img_frame_00009.jpg,-96345192.0,290511168.0
img_frame_00010.jpg,-96519856.0,290359872.0
img_frame_00011.jpg,-96422064.0,287977664.0
img_frame_00012.jpg,-96356352.0,284604864.0
img_frame_00013.jpg,-96293416.0,284487168.0
img_frame_00014.jpg,-96241072.0,284473824.0
img_frame_00015.jpg,-96124568.0,284214272.0
img_frame_00016.jpg,-96127840.0,284564864.0
img_frame_00017.jpg,-96023312.0,284726112.0
img_frame_00018.jpg,-96058384.0,285089920.0
img_frame_00019.jpg,-96190712.0,289814848.0
img_frame_00020.jpg,-96209800.0,291522048.0
img_frame_00021.jpg,-96231688.0,290305440.0
img_frame_00022.jpg,-96198120.0,291003712.0
img_frame_00023.jpg,-95997592.0,289590976.0
img_frame_00024.jpg,-95839984.0,284592576.0
img_frame_00025.jpg,-95713248.0,277962400.0
img_frame_00026.jpg,-95658896.0,275855840.0
img_frame_00027.jpg,-95562968.0,272734080.0
img_frame_00028.jpg,-95396824.0,269184640.0
img_frame_00029.jpg,-95292240.0,266437104.0
img_frame_00030.jpg,-94858712.0,264120064.0
img_frame_00031.jpg,-94669640.0,261792704.0
img_frame_00032.jpg,-94419080.0,260319008.0
img_frame_00033.jpg,-94315000.0,259567024.0
img_frame_00034.jpg,-94183264.0,258500272.0
img_frame_00035.jpg,-93746592.0,256587808.0
img_frame_00036.jpg,-93339664.0,254496432.0
img_frame_00037.jpg,-92662136.0,251679744.0
img_frame_00038.jpg,-92010520.0,250815840.0
img_frame_00039.jpg,-91412056.0,249175872.0
img_frame_00040.jpg,-90573288.0,248367616.0
img_frame_00041.jpg,-89313632.0,245469760.0
img_frame_00042.jpg,-87876208.0,242497024.0
img_frame_00043.jpg,-85946288.0,238642496.0
img_frame_00044.jpg,-83794856.0,235344144.0
img_frame_00045.jpg,-81591728.0,233718176.0
img_frame_00046.jpg,-79858880.0,230519936.0
img_frame_00047.jpg,-78352816.0,229283872.0
img_frame_00048.jpg,-77709584.0,229510752.0
img_frame_00049.jpg,-77306936.0,230268976.0
img_frame_00050.jpg,-77517560.0,231265728.0
img_frame_00051.jpg,-76591960.0,231877872.0
img_frame_00052.jpg,-75000360.0,230554960.0
img_frame_00053.jpg,-73113064.0,225258160.0
img_frame_00054.jpg,-71192296.0,213900112.0
img_frame_00055.jpg,-68951800.0,209996544.0
img_frame_00056.jpg,-67438432.0,211135072.0
img_frame_00057.jpg,-66499040.0,208537952.0
img_frame_00058.jpg,-65769288.0,204313728.0
img_frame_00059.jpg,-65361144.0,199170848.0
img_frame_00060.jpg,-64542292.0,195185568.0
img_frame_00061.jpg,-62271972.0,191652928.0
img_frame_00062.jpg,-60157712.0,187785472.0
img_frame_00063.jpg,-57195272.0,182561648.0
img_frame_00064.jpg,-55558564.0,176727152.0
img_frame_00065.jpg,-53872956.0,170661040.0
img_frame_00066.jpg,-52594772.0,162025472.0
img_frame_00067.jpg,-51385436.0,149677792.0
img_frame_00068.jpg,-51145380.0,139384336.0
img_frame_00069.jpg,-50345896.0,132353896.0
img_frame_00070.jpg,-48648888.0,126066248.0
img_frame_00071.jpg,-46466132.0,119153744.0
img_frame_00072.jpg,-45711412.0,115200600.0
img_frame_00073.jpg,-45583852.0,112746296.0
img_frame_00074.jpg,-45845624.0,101450984.0
img_frame_00075.jpg,-44408188.0,98381496.0
img_frame_00076.jpg,-45092628.0,93251960.0
img_frame_00077.jpg,-43814212.0,86618520.0
img_frame_00078.jpg,-43865744.0,79801672.0
img_frame_00079.jpg,-41207920.0,75288600.0
img_frame_00080.jpg,-38818220.0,75089168.0
img_frame_00081.jpg,-37793440.0,74791792.0
img_frame_00082.jpg,-38055652.0,74717280.0
img_frame_00083.jpg,-41005948.0,74605848.0
img_frame_00084.jpg,-39071288.0,74547240.0
img_frame_00085.jpg,-38664708.0,74614968.0
img_frame_00086.jpg,-37326496.0,74502000.0
img_frame_00087.jpg,-36014064.0,74760328.0
img_frame_00088.jpg,-36674928.0,75040896.0
img_frame_00089.jpg,-34743948.0,75094824.0
img_frame_00090.jpg,-36120924.0,75177296.0
img_frame_00091.jpg,-35443884.0,75194928.0
img_frame_00092.jpg,-36734628.0,75174040.0
img_frame_00093.jpg,-36636196.0,75788400.0
img_frame_00094.jpg,-31715892.0,76032168.0
img_frame_00095.jpg,-31090348.0,76284856.0
img_frame_00096.jpg,-32964960.0,76181696.0
img_frame_00097.jpg,-33825880.0,75876864.0
img_frame_00098.jpg,-38066972.0,75673840.0
img_frame_00099.jpg,-37264228.0,75656328.0
img_frame_00100.jpg,-35983864.0,75869200.0
img_frame_00101.jpg,-37113840.0,76292408.0
img_frame_00102.jpg,-35890584.0,76402024.0
img_frame_00103.jpg,-34862440.0,76585888.0
img_frame_00104.jpg,-35109712.0,76705280.0
img_frame_00105.jpg,-37830180.0,76761528.0
img_frame_00106.jpg,-38333016.0,77398544.0
img_frame_00107.jpg,-37378048.0,77695552.0
img_frame_00108.jpg,-34991060.0,77745576.0
img_frame_00109.jpg,-33064146.0,77676896.0
img_frame_00110.jpg,-33437700.0,77675696.0
img_frame_00111.jpg,-36543772.0,77567816.0
img_frame_00112.jpg,-39577136.0,77500384.0
img_frame_00113.jpg,-38947372.0,77475080.0
img_frame_00114.jpg,-37755788.0,77429720.0
img_frame_00115.jpg,-38417928.0,77481960.0
